file_path,file_name,metadata_files
raw/private,raw_rpl_responses.rds,HEGS-Replicability.qsf; raw/public/raw_rpl_survey_metadata.rds; raw/public/raw_rpl_survey_questions.rds
raw/public,raw_hegs_rpl.rds,HEGS-Replicability.qsf; raw/public/raw_rpl_survey_metadata.rds; raw/public/raw_rpl_survey_questions.rds
raw/public,raw_rpl_survey_metadata.rds,n/a - metadata for raw_hegs_rpl.rds
raw/public,raw_rpl_survey_questions.rds,n/a - metadata for raw_hegs_rpl.rds
derived/public,q6_coding_final.csv,q6_codebook.md
derived/public,q17_coding_final.csv,q17_codebook.md
derived/public,analysis_hegs_rpl.rds,"see procedures/code/02-clean.R for creation of this file from raw_hegs_rpl.rds, q6_coding_final.csv and q17_coding_final.csv"
